Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East_Asia	Distance to cluster Europe	Distance to cluster South_Asia
GTEX-SSA3-0001-SM-5URCI	-	-	-	Africa	0.01034	0.09027	0.07528	0.07115
GTEX-SUCS-0001-SM-5URDQ	-	-	Europe	Europe	0.08269	0.08711	0.00876	0.04738
GTEX-T2IS-0002-SM-5SOEK	-	-	Europe	Europe	0.08193	0.08580	0.00745	0.04607
GTEX-T2YK-0003-SM-5URCD	-	-	-	Africa	0.01103	0.09066	0.07502	0.07126
GTEX-T5JC-0002-SM-5SOER	-	-	Europe	Europe	0.08242	0.08690	0.00853	0.04716
GTEX-T5JW-0002-SM-5URDG	-	-	Europe	Europe	0.08104	0.08669	0.00830	0.04688
GTEX-T6MN-0003-SM-5URB7	-	-	-	Europe	0.08278	0.08750	0.00914	0.04777
GTEX-T6MO-0001-SM-5URCH	-	-	Europe	Europe	0.08265	0.08720	0.00884	0.04747
GTEX-T8EM-0001-SM-5SOEA	-	-	Europe	Europe	0.08202	0.08638	0.00800	0.04664
GTEX-TKQ2-0002-SM-5URCO	-	-	-	Europe	0.08292	0.08761	0.00925	0.04788
GTEX-TML8-0004-SM-5SOEP	-	-	-	Africa	0.02358	0.07988	0.05530	0.05429
GTEX-TMMY-0003-SM-5SOES	-	-	Europe	Europe	0.08265	0.08701	0.00866	0.04728
GTEX-TMZS-0002-SM-5URDR	-	-	Europe	Europe	0.08238	0.08718	0.00879	0.04743
GTEX-TSE9-0002-SM-5URBA	-	-	Europe	Europe	0.08137	0.08450	0.00618	0.04478
GTEX-U3ZG-0002-SM-5SOEN	-	-	-	Europe	0.08337	0.08803	0.00970	0.04832
GTEX-U3ZH-0003-SM-5URBK	-	-	Europe	Europe	0.07925	0.08580	0.00767	0.04595
GTEX-U3ZN-0001-SM-5URBO	-	-	Europe	Europe	0.08215	0.08687	0.00848	0.04712
GTEX-U4B1-0001-SM-5URC2	-	-	-	Europe	0.08301	0.08762	0.00927	0.04789
